Timestamp,Target_ID,Shape_Classification,Velocity_px_per_frame,Evidence_Image
2026-06-28 21:59:05,1,CIRCLE,20,AUDIT_RED_CIRCLE_V20_215905.jpg
2026-06-28 21:59:09,1,BLOB,61,AUDIT_RED_BLOB_V61_215909.jpg
2026-06-28 21:59:12,0,POLYGON,29,AUDIT_GREEN_POLYGON_V29_215912.jpg
2026-06-28 21:59:25,2,POLYGON,23,AUDIT_RED_POLYGON_V23_215925.jpg
